mammo_path,ultrasound_path,label,split,ultrasound_mask_path,ultrasound_roi_path,roi_status,roi_bbox
C:\Users\konyang\Desktop\MMIBC-main\mmibc\mammo\train\benign\49a83a14fe22d7e004003daef631ac50.png,C:\Users\konyang\Desktop\MMIBC-main\mmibc\ultrasound\images\train\benign\benign (232).png,benign,train,C:\Users\konyang\Desktop\MMIBC-main\data\busi_full\Dataset_BUSI_with_GT\benign\benign (232)_mask.png,C:\Users\konyang\Desktop\MMIBC-main\mmibc\ultrasound_roi\images\train\benign\000000_benign_232_roi.png,roi_crop,"133,0,421,215"
C:\Users\konyang\Desktop\MMIBC-main\mmibc\mammo\train\benign\c7bfb5f50e80d47788075d8f45acc153.png,C:\Users\konyang\Desktop\MMIBC-main\mmibc\ultrasound\images\validation\benign\benign (220).png,benign,validation,C:\Users\konyang\Desktop\MMIBC-main\data\busi_full\Dataset_BUSI_with_GT\benign\benign (220)_mask.png,C:\Users\konyang\Desktop\MMIBC-main\mmibc\ultrasound_roi\images\validation\benign\000001_benign_220_roi.png,roi_crop,"419,114,595,236"
C:\Users\konyang\Desktop\MMIBC-main\mmibc\mammo\validation\benign\8e1ea4bb1673d4e3c23456413147ac3a.png,C:\Users\konyang\Desktop\MMIBC-main\mmibc\ultrasound\images\train\benign\benign (379).png,benign,train,C:\Users\konyang\Desktop\MMIBC-main\data\busi_full\Dataset_BUSI_with_GT\benign\benign (379)_mask.png,C:\Users\konyang\Desktop\MMIBC-main\mmibc\ultrasound_roi\images\train\benign\000002_benign_379_roi.png,roi_crop,"393,57,770,165"
C:\Users\konyang\Desktop\MMIBC-main\mmibc\mammo\validation\malignant\f1097a8a50765e2261af176d00347cf0.png,C:\Users\konyang\Desktop\MMIBC-main\mmibc\ultrasound\images\train\malignant\malignant (143).png,malignant,test,C:\Users\konyang\Desktop\MMIBC-main\data\busi_full\Dataset_BUSI_with_GT\malignant\malignant (143)_mask.png,C:\Users\konyang\Desktop\MMIBC-main\mmibc\ultrasound_roi\images\test\malignant\000003_malignant_143_roi.png,roi_crop,"89,111,351,228"
C:\Users\konyang\Desktop\MMIBC-main\mmibc\mammo\train\benign\37448b35920f755460e8066643add226.png,C:\Users\konyang\Desktop\MMIBC-main\mmibc\ultrasound\images\train\benign\benign (323).png,benign,train,C:\Users\konyang\Desktop\MMIBC-main\data\busi_full\Dataset_BUSI_with_GT\benign\benign (323)_mask.png,C:\Users\konyang\Desktop\MMIBC-main\mmibc\ultrasound_roi\images\train\benign\000004_benign_323_roi.png,roi_crop,"303,85,455,182"
C:\Users\konyang\Desktop\MMIBC-main\mmibc\mammo\train\benign\8f0a19c3ca7e647333d29dd35a28c3e9.png,C:\Users\konyang\Desktop\MMIBC-main\mmibc\ultrasound\images\validation\benign\normal (118).png,benign,validation,C:\Users\konyang\Desktop\MMIBC-main\data\busi_full\Dataset_BUSI_with_GT\normal\normal (118)_mask.png,C:\Users\konyang\Desktop\MMIBC-main\mmibc\ultrasound_roi\images\validation\benign\000005_normal_118_roi.png,fallback_full_image,
C:\Users\konyang\Desktop\MMIBC-main\mmibc\mammo\validation\benign\4ff22641f21ac7fcb34fe66222a02534.png,C:\Users\konyang\Desktop\MMIBC-main\mmibc\ultrasound\images\train\benign\benign (131).png,benign,train,C:\Users\konyang\Desktop\MMIBC-main\data\busi_full\Dataset_BUSI_with_GT\benign\benign (131)_mask.png,C:\Users\konyang\Desktop\MMIBC-main\mmibc\ultrasound_roi\images\train\benign\000006_benign_131_roi.png,roi_crop,"0,10,381,348"
C:\Users\konyang\Desktop\MMIBC-main\mmibc\mammo\test\benign\69fd821933055b63870963ebc39fe5cd.png,C:\Users\konyang\Desktop\MMIBC-main\mmibc\ultrasound\images\train\benign\benign (416).png,benign,train,C:\Users\konyang\Desktop\MMIBC-main\data\busi_full\Dataset_BUSI_with_GT\benign\benign (416)_mask.png,C:\Users\konyang\Desktop\MMIBC-main\mmibc\ultrasound_roi\images\train\benign\000007_benign_416_roi.png,roi_crop,"102,20,413,146"
C:\Users\konyang\Desktop\MMIBC-main\mmibc\mammo\train\benign\19384a78994ca59470843c3962d80fe2.png,C:\Users\konyang\Desktop\MMIBC-main\mmibc\ultrasound\images\train\benign\benign (205).png,benign,train,C:\Users\konyang\Desktop\MMIBC-main\data\busi_full\Dataset_BUSI_with_GT\benign\benign (205)_mask.png,C:\Users\konyang\Desktop\MMIBC-main\mmibc\ultrasound_roi\images\train\benign\000008_benign_205_roi.png,roi_crop,"0,133,556,360"
C:\Users\konyang\Desktop\MMIBC-main\mmibc\mammo\test\malignant\09d71ae86ca0383de5dcbcc40fa421ce.png,C:\Users\konyang\Desktop\MMIBC-main\mmibc\ultrasound\images\train\malignant\malignant (176).png,malignant,train,C:\Users\konyang\Desktop\MMIBC-main\data\busi_full\Dataset_BUSI_with_GT\malignant\malignant (176)_mask.png,C:\Users\konyang\Desktop\MMIBC-main\mmibc\ultrasound_roi\images\train\malignant\000009_malignant_176_roi.png,roi_crop,"10,3,376,327"
